606076928,606339071,26318
606404608,606412799,30115
606413824,606414335,30116
606414592,606414847,30117
606414848,606420991,30118
606601216,606625791,31662
606601216,607125503,29375
607125504,607256575,29692
607649792,608174079,29376
610271232,612368383,29377
620240896,620249087,31554
620232704,620494847,29693
654311424,654311679,30119
654311936,654313471,30120
654313472,654376959,30121
658505728,660602879,29875
704643072,704644095,30122
704645120,704649215,30123
704649216,704650239,30124
704651264,704659455,30125
704675840,704708607,29876
704708608,704722943,30126
704722944,704723967,30127
704905216,705167359,29694
707788800,707821567,29871
707837952,707846143,29734
707846144,707854335,29770
707788800,707919871,29695
707854344,707862527,29729
707862528,707870719,31172
707870720,707876863,31122
707878912,707887103,29952
707887104,707888127,31650
707891200,707892735,31678
707895296,707899391,30050
707903488,707905535,29765
707907584,707911679,24078
707911680,707915775,31392
707919872,707985407,29877
708050944,708575231,29696
708739072,708751359,30128
708752384,708753407,30129
708753408,708755455,30130
708771840,708837375,29431
709885952,710017023,29697
710098944,710103039,30131
710103040,710104063,30132
710105088,710115327,30133
710148096,710410239,29698
710410240,710934527,29699
710950912,710961151,30134
710962176,710963199,30135
710963200,710967295,30136
710967296,711000063,30137
711000064,711065599,29700
711131136,711159807,30138
711159808,711160831,30139
711161856,711163903,30140
711196672,711458815,29701
712507392,712638463,29702
712638464,712703999,29703
712704000,712712191,30141
712713216,712714239,30142
712714240,712736767,30143
712736768,712769535,30144
714866688,714874879,30145
714875904,714876927,30146
714876928,714899455,30147
714899456,714932223,30148
716177408,716701695,29704
716701696,716832767,29705
716898304,716929023,30149
716929024,716930047,30150
717357056,717359103,30151
717359104,717360127,30152
717361152,717389823,30153
717881344,718012415,29878
719339520,719345663,31138
719421440,719429631,29959
719454208,719486975,31565
719585280,719587327,31528
719323136,720371711,29706
720502784,720633855,1216
720633856,720650239,29879
720650240,720654335,29880
720654336,720658431,29881
720896000,721420287,29874
825491456,825499647,23625
825499648,825503743,23624
825503744,825507839,26306
825507840,825516031,29940
825516032,825520127,29941
826736640,826753023,29503
826802176,826867711,10211
826867712,826900479,29960
826933248,826966015,29316
827064352,827080703,29444
827260928,827277311,29479
826277888,828375039,29122
827392000,827424767,29237
827523072,827555839,29342
827654144,827670527,25730
827719680,827738111,31414
827785216,827817983,29432
827850752,827883519,29544
827916288,827949055,29404
827981824,827998207,31632
829579264,829581311,29447
829585408,829587455,29732
829423616,829947903,28928
829743104,829751295,31558
829751296,829767679,30039
829947904,829964287,29943
829964288,829972479,29944
830472192,830472447,30154
830472704,830473215,30155
831258624,831324159,28929
831324160,831330303,29609
831330304,831336447,29610
831340544,831356927,29608
831356928,831363071,29945
835715072,835747839,29942
973996032,974127103,16026
974127104,974155775,18205
974155776,974159871,18529
974127104,974192639,15762
974160896,974163967,25886
974163968,974168063,18533
974169088,974172159,19496
974172160,974176255,18527
974176256,974177279,26854
974177280,974178303,22455
974178304,974180351,19329
974180352,974184447,18528
974184448,974192639,24325
974192640,974205951,16363
974205952,974206975,20896
974206976,974209023,19887
974192640,974225407,15763
974209024,974210047,20392
974210560,974210815,22661
974210816,974211071,22660
974211072,974213119,19741
974213120,974214143,22670
974214144,974214655,23956
974215168,974216191,19313
974216192,974217215,22180
974217216,974219263,19757
974219264,974220287,19756
974220288,974221311,19755
974221312,974223359,19754
974223360,974225407,19759
974225408,974258175,16027
974258176,974262271,16710
974262272,974266367,19462
974266368,974270463,16835
974270464,974274559,16959
974274560,974278655,1681
974278656,974282751,17186
974282752,974286847,16781
974286848,974290943,17001
974258176,974323711,16121
974290944,974295039,16818
974295040,974299135,16418
974299136,974303231,17687
974303232,974308351,15129
974308352,974312447,3949
974312448,974313471,21219
974313472,974314495,5280
974314496,974321663,17771
974321664,974323711,17703
974323712,974345215,16457
974345216,974345727,7283
974345728,974346239,7279
974346240,974347263,21402
974347264,974349311,21346
974349312,974350335,17151
974350336,974351359,4290
974351360,974356479,17297
974323712,974389247,16122
974356480,974356991,18499
974356992,974357247,18836
974357248,974357375,20867
974357376,974357503,18334
974357504,974357759,19193
974357888,974358015,24102
974358272,974358527,21386
974358528,974358783,22042
974358784,974359039,22983
974359040,974359295,23120
974359296,974359551,19160
974359552,974359807,18741
974359808,974359935,18794
974359936,974360063,19810
974360064,974360575,19629
974360576,974361599,21041
974361600,974362623,21928
974362624,974363135,21287
974363136,974363647,21910
974363648,974364671,18304
974364672,974365695,20653
974365696,974366719,20689
974366720,974367743,21423
974367744,974368767,21223
974368768,974369791,7160
974369792,974370815,18380
974370816,974371839,18318
974371840,974373887,18237
974373888,974374911,17355
974374912,974375935,18105
974375936,974376959,17942
974376960,974377983,18027
974377984,974379007,19047
974379008,974380031,19678
974380032,974381055,24004
974381056,974383103,16588
974383104,974385151,16082
974385152,974387199,16718
