86,上海市,南京市,鹏博士,211.162.200.0,211.162.207.255
87,上海市,上海市,,211.167.208.0,211.167.223.255
88,上海市,上海市,电信,218.1.0.0,218.1.89.255
89,上海市,(电信骨干网),电信,202.109.0.0,202.109.0.255
90,上海市,上海市,联通,210.78.17.0,210.78.26.255
91,上海市,上海市,联通,210.78.28.0,210.78.28.255
92,上海市,上海市,电信,218.78.0.0,218.78.191.255
93,上海市,上海市,有线通,218.242.0.0,218.242.255.255
94,北京市,北京市,联通,218.244.60.0,218.244.63.255
95,上海市,上海市,铁通,211.98.33.0,211.98.33.255
96,广东省,深圳市,长城宽带,220.115.240.0,220.115.255.255
97,上海市,(上海第二工业大学),教育网,219.220.224.0,219.220.239.255
98,上海市,上海市,电信,61.169.0.0,61.170.127.255
99,上海市,上海市,电信,61.165.0.0,61.165.255.255
100,上海市,(上海信息技术学校),教育网,202.121.152.0,202.121.155.255
101,上海市,(上海市经济管理干部学院),教育网,202.121.156.0,202.121.159.255
102,上海市,(新侨职业技术学院),教育网,202.121.184.0,202.121.191.255
103,上海市,上海市,联通,210.15.14.0,210.15.14.255
104,上海市,上海市,电信,218.30.255.0,218.30.255.255
105,上海市,上海市,电信,202.97.48.0,202.97.48.255
106,上海市,(电信国际出口骨干网),电信,202.97.51.0,202.97.51.255
107,上海市,上海市,联通,210.74.140.0,210.74.140.255
108,江苏省,常州市,联通,211.90.88.0,211.90.215.255
109,上海市,(上海交通大学),教育网,218.193.176.0,218.193.191.255
110,上海市,(上海外国语大学宽带),教育网,218.193.160.0,218.193.175.255
111,上海市,(东华大学),教育网,218.193.144.0,218.193.159.255
112,上海市,上海市,教育网,218.193.128.0,218.193.143.255
113,上海市,上海市,,211.154.52.0,211.154.95.255
114,北京市,(中石化公司),金桥网,203.93.36.0,203.93.37.255
115,上海市,上海市,联通,203.93.157.0,203.93.157.255
116,上海市,上海市,联通,203.93.218.0,203.93.218.255
117,上海市,上海市,,211.102.0.0,211.102.31.255
118,上海市,(上海交通大学),教育网,211.80.80.0,211.80.95.255
119,上海市,(教育和科研网),教育网,211.80.0.0,211.80.7.255
